Unnamed: 0,season,firstName,lastName,position,origin,destination,positionType
1864,2022,Antwane,Wells,WR,James Madison,South Carolina,Offense
1865,2022,Jordan,Watkins,WR,Louisville,Ole Miss,Offense
1866,2022,Jacob,Rodriguez,QB,Virginia,Texas Tech,Offense
1867,2022,Latrell,Fordham,WR,Eastern Michigan,,Offense
1868,2022,Jadon,Haselwood,WR,Oklahoma,Arkansas,Offense
1869,2022,Sterling,Galban,WR,Texas Tech,Jacksonville State,Offense
1870,2022,Dezmon,Jackson,RB,Oklahoma State,Sam Houston State,Offense
1871,2022,Isaiah,Gibson,DL,Kentucky,Marshall,Defense
1872,2022,RJ,Orebo,DL,Texas A&M,Southern Illinois,Defense
1873,2022,Alex,Harper,LS,North Carolina Central,East Carolina,Special
1874,2022,Evan,Deckers,LS,UMass,Duke,Special
1875,2022,Dan,Villari,QB,Michigan,Syracuse,Offense
1876,2022,Joe,Ervin,RB,Kansas State,Middle Tennessee,Offense
1877,2022,JaQwondis,Burns,LB,Minnesota,SMU,Defense
1878,2022,Michael,Scott,OLB,Akron,South Dakota,Defense
1879,2022,Emmanuel,Logan-Greene,WR,New Mexico,,Offense
1880,2022,Nolan,Johnson,CB,East Carolina,Miami (OH),Defense
1881,2022,Tanner,McCalister,CB,Oklahoma State,Ohio State,Defense
1882,2022,Michael,Pleas,S,Southern Mississippi,Jackson State,Defense
1883,2022,Joseph,Boletepeli,DL,Maryland,,Defense
1884,2022,Zach,Perkins,OT,Maryland,South Florida,Offense
1885,2022,Dimitri,Moore,LB,Missouri State,Texas Tech,Defense
1886,2022,Collin,James,IOL,Abilene Christian,New Mexico,Offense
1887,2022,M.J.,Frazier,TE,North Carolina A&T,Valdosta State,Offense
1888,2022,Anthony,Ward,LB,Washington,,Defense
1889,2022,Chase,Locke,WR,USC,,Offense
1890,2022,Miles,Adams,EDGE,Rice,,Defense
1891,2022,William,Green,DL,Liberty,Nevada,Defense
1892,2022,Ar'Quel,Smith,LB,Iowa State,,Defense
1893,2022,Charlie,Gray,LB,Marshall,Marshall,Defense
1894,2022,Bentley,Hanshaw,TE,BYU,Liberty,Offense
1895,2022,Fredrick,Smith,CB,Southern Mississippi,,Defense
1896,2022,Jaillen,Howze,LB,Buffalo,,Defense
1897,2022,Alec,Pell,LB,Colorado,Northern Colorado,Defense
1898,2022,Wyatt,Blake,OT,Northwestern,,Offense
1899,2022,Jamar,Richardson,WR,Ole Miss,South Alabama,Offense
1900,2022,Traveon,Freshwater,EDGE,East Carolina,Elizabeth City State,Defense
1901,2022,Isiah,Cox,WR,Ohio,Alabama A&M,Offense
1902,2022,Alonso,Person,LB,Kansas,,Defense
1903,2022,Riley,Keller,QB,Bowling Green,Tiffin University,Offense
1904,2022,Jesson,Walker,CB,Florida International,,Defense
1905,2022,Gurvan,Hall,S,Miami,Utah State,Defense
1906,2022,Eugene,Asante,LB,North Carolina,Auburn,Defense
1907,2022,Terrence,Lewis,LB,Maryland,UCF,Defense
1908,2022,Myles,Brooks,CB,Stephen F. Austin,Louisiana Tech,Defense
1909,2022,Tre'Jon,Lewis,EDGE,Texas Tech,,Defense
1910,2022,Xavier,Williams,WR,Alabama,Utah State,Offense
1911,2022,Adonicas,Sanders,WR,Georgia Tech,Temple,Offense
1912,2022,Trimarcus,Cheeks,ATH,Samford,Houston,ATH
1913,2022,Jagger,LaRoe,QB,Ohio State,,Offense
1914,2022,Deajaun,McDougle,WR,Maryland,Tulane,Offense
1915,2022,Danny,Joiner,TE,Army,,Offense
1916,2022,Kyle,Cass,CB,Mississippi State,,Defense
1917,2022,Bryce,Austin,DL,Purdue,Western Michigan,Defense
1918,2022,Shakel,Brown,DL,Troy,Troy,Defense
1919,2022,Christopher,Oliver,IOL,Bowling Green,,Offense
1920,2022,Halid,Djibril,S,Washington State,,Defense
1921,2022,JD,Head,QB,Louisiana Tech,North Texas,Offense
1922,2022,Dalton,Tomlison,IOL,UMass,Western Carolina,Offense
1923,2022,Beau,Taylor,IOL,UCLA,Ball State,Offense
1924,2022,Ben,Bohnenberger,OG,Colgate,UMass,Offense
1925,2022,Tashawn,Manning,DL,Auburn,Kentucky,Defense
1926,2022,Brandy,Okeke,EDGE,Washington State,,Defense
1927,2022,Shanon,Reid,LB,Illinois State,SMU,Defense
1928,2022,Christopher,Jackson,WR,BYU,Hawai'i,Offense
1929,2022,Tylan,Hines,RB,Air Force,Hawai'i,Offense
1930,2022,Jordan,Lee,S,Nevada,Washington State,Defense
1931,2022,Jack,Green,IOL,South Alabama,Central Arkansas,Offense
1932,2022,Isaiah,Cromarty,CB,South Florida,,Defense
1933,2022,Spencer,Rattler,QB,Oklahoma,South Carolina,Offense
1934,2022,Chuck,Filiaga,IOL,Michigan,Minnesota,Offense
1935,2022,Henry,Garrison,DL,East Carolina,,Defense
1936,2022,Tanner,Luther,K,Eastern Michigan,,Special
1937,2022,Isaiah,Holiness,WR,San José State,UMass,Offense
1938,2022,Rashard,Jackson,RB,Maryland,,Offense
1939,2022,Herman,McCray,TE,Georgia State,Limestone College,Offense
1940,2022,Brandon,Joseph,S,Northwestern,Notre Dame,Defense
1941,2022,Jojo,Forest,CB,Oregon State,Hawai'i,Defense
1942,2022,Logan,Kraut,S,Arizona,,Defense
1943,2022,Camron,Buckley,WR,Indiana,Jackson State,Offense
1944,2022,Messiah,Swinson,TE,Missouri,Arizona State,Offense
1945,2022,Latarie,Kinsler,EDGE,Syracuse,Florida International,Defense
1946,2022,Austin,Stogner,TE,Oklahoma,South Carolina,Offense
1947,2022,Dylan,McDuffie,RB,Buffalo,Georgia Tech,Offense
1948,2022,Ian,Stewart,WR,Michigan State,Temple,Offense
1949,2022,Jake,Mann,LS,Oklahoma,Appalachian State,Special
1950,2022,Jackson,Sirmon,LB,Washington,California,Defense
1951,2022,Jack,Beresford,DL,Washington State,,Defense
1952,2022,Cade,Parrish,OT,BYU,Utah State,Offense
1953,2022,Brady,Boyd,WR,Minnesota,Texas Tech,Offense
1954,2022,Izaiah,Reed,DL,Murray State,New Mexico State,Defense
1955,2022,Dwight,McGlothern,CB,LSU,Arkansas,Defense
1956,2022,Ishmael,Burdine,S,Missouri,TCU,Defense
1957,2022,Anthony,Britton,LB,The Citadel,Southeastern Louisiana,Defense
1958,2022,Jackson,Schott,LB,Miami (OH),,Defense
1959,2022,Moses,Douglass,S,Kentucky,Alabama A&M,Defense
1960,2022,Beau,Corrales,WR,North Carolina,SMU,Offense
