firstName|lastName|positionType|origin|destination
Nathan|Rawlins-Kibonge|Defense|Oklahoma|South Alabama
Coleon|Smith|Offense|Eastern Michigan|
Quincy|Patterson|Offense|North Dakota State|Temple
Jordan|Hornbeak|Offense|Fresno State|Northern Colorado
Aaron|McLaughlin|Offense|NC State|Jacksonville State
Desmond|Dan|Offense|Illinois|Southwest Minnesota State
Jared|Ivey|Defense|Georgia Tech|Ole Miss
Jason|Brooks|Offense|Vanderbilt|Oklahoma State
Kolby|White|Offense|Baylor|
Frederik|Antoine|Offense|Old Dominion|
Tre'Von|Morgan|Offense|Miami (OH)|
Earnest|Sanders|Offense|Kentucky|
Tyrone|Hopper|Defense|North Carolina|Missouri
Jordan|Brown|ATH|Kansas|Texas Tech
Chase|Monroe|Defense|Wake Forest|Charlotte
Devan|Barrett|Defense|Troy|
Michael|Mincey|ILB|Vanderbilt|Kennesaw State
Eli|Ricks|Defense|LSU|Alabama
Michael|DiLiello|Offense|Middle Tennessee|
Tyson|Thompson|Offense|Houston Christian|Rice
Peter|Costelli|Offense|Utah|Troy
Kylan|Watkins|Offense|Memphis|
Dar'jarri|Coleman|Defense|Jacksonville State|
Enoch|Nawahine|Offense|Utah State|
Gabriel|Murphy|Defense|North Texas|UCLA
Mari|Wingard|Defense|Elon|Georgia Southern
Weston|Reiman|Offense|Nebraska|
Marcel|Lewis|Defense|Central Michigan|
Patrick|Ballard|Offense|UNLV|Abilene Christian
Antonio|Montero|Defense|Rice|Villanova
Jakai|Torres|Offense|San José State|College of the Canyons
Cameron|Cooper|Offense|UTEP|
